"CChny_HanyouUniqueKey","CChny_HanyouCodeKey","CChny_Sort","CChny_HanyouCodeValue","CChny_HanyouCodeNaiyou","CChny_HanyouCodeSetumei"
"0100","CASTER",1,"1","食料品","製造業／食料品"
"0200","CASTER",2,"2","繊維品","製造業／繊維品"
"0300","CASTER",3,"3","木材・木製品","製造業／木材・木製品"
"0400","CASTER",4,"4","パルプ・紙加工品等","製造業／パルプ・紙・紙加工品"
"0500","CASTER",5,"5","製造/出版・印刷関連","製造業／出版・印刷・同関連"
"0600","CASTER",6,"6","製造/有機工業","製造業／有機工業"
"0700","CASTER",7,"7","製造/他化学工業","製造業／その他の化学工業"
"0900","CASTER",8,"8","製造/石油精製","製造業／石油精製"
"1000","CASTER",9,"9","製造/窯業・土石製品","製造業／窯業・土石製品"
"1100","CASTER",10,"10","製造/鉄鋼","製造業／鉄鋼"
"1200","CASTER",11,"11","製造/非鉄金属","製造業／非鉄金属"
"1300","CASTER",12,"12","製造/金属製品","製造業／金属製品"
"1400","CASTER",13,"13","製造/一般機械機具","製造業／一般機械機具"
"1500","CASTER",14,"14","製造/電気機械機具","製造業／電気機械機具"
"1600","CASTER",15,"15","製造/自動車 同付属品","製造業／自動車・同付属品"
"1700","CASTER",16,"16","製造/船舶その他","製造業／船舶その他"
"1900","CASTER",17,"17","製造/精密機械機具","製造業／精密機械機具"
"2000","CASTER",18,"18","製造/その他","製造業／その他"
"2200","CASTER",19,"19","農業","農業"
"2300","CASTER",20,"20","林業","林業"
"2400","CASTER",21,"21","漁業・水産養殖業","漁業・水産養殖業"
"2500","CASTER",22,"22","鉱業","鉱業"
"2600","CASTER",23,"23","建設業","建設業"
"2700","CASTER",24,"24","電気","電気"
"2800","CASTER",25,"25","ガス・熱供給・水道業","ガス・熱供給・水道業"
"2GYOSYU000000","2GYOSYU",1,"000000","業種コード２ダミー","業種コード２ダミー"
"3000","CASTER",26,"26","鉄道","鉄道"
"3100","CASTER",27,"27","道路輸送","道路輸送"
"3200","CASTER",28,"28","水運","水運"
"3300","CASTER",29,"29","その他の運輸業","その他の運輸業"
"3500","CASTER",30,"30","卸売業/各種商品","卸売業／各種商品"
"3600","CASTER",31,"31","卸売業/繊維品","卸売業／繊維品"
"3700","CASTER",32,"32","卸売業/鉱物 金属材料","卸売業／鉱物・金属材料"
"3800","CASTER",33,"33","卸売業/機械機具","卸売業／機械機具"
"3900","CASTER",34,"34","卸売業/その他","卸売業／その他"
"3GYOSYU000000","3GYOSYU",1,"000000","業種コード３ダミー","業種コード３ダミー"
"403","ENTAISYURUI",1,"0","延滞0ヶ月以上","延滞0ヶ月以上"
"404","ENTAISYURUI",2,"3","延滞3ヶ月以上","延滞3ヶ月以上"
"405","ENTAISYURUI",3,"6","延滞6ヶ月以上","延滞6ヶ月以上"
"4100","CASTER",35,"35","小売業/百貨店","小売業／百貨店"
"4200","CASTER",36,"36","小売業/その他","小売業／その他"
"4400","CASTER",37,"37","飲食業","飲食業"
"4601","CASTER",38,"38","証券会社","証券会社"
"4602","CASTER",39,"39","その他の証券会社","その他の証券会社"
"4700","CASTER",40,"40","保険","保険"
"4711","CASTER",41,"41","生命保険会社","生命保険会社"
"4712","CASTER",42,"42","損害保険会社","損害保険会社"
"4713","CASTER",43,"43","各種組合共済","各種組合共済"
"4714","CASTER",44,"44","保険代理店","保険代理店"
"4800","CASTER",45,"45","その他の金融業","その他の金融業"
"4821","CASTER",46,"46","都市銀行","都市銀行"
"4822","CASTER",47,"47","地方銀行","地方銀行"
"4823","CASTER",48,"48","長期信用銀行","長期信用銀行"
"4824","CASTER",49,"49","信託銀行","信託銀行"
"4825","CASTER",50,"50","外国為替銀行","外国為替銀行"
"4826","CASTER",51,"51","在日外国銀行","在日外国銀行"
"4827","CASTER",52,"52","相互銀行","相互銀行"
"4828","CASTER",53,"53","信用金庫","信用金庫"
"4829","CASTER",54,"54","全信連","全信連"
"4830","CASTER",55,"55","信用協同組合","信用協同組合"
"4831","CASTER",56,"56","全信協","全信協"
"4832","CASTER",57,"57","労働金庫","労働金庫"
"4833","CASTER",58,"58","労金連","労金連"
"4834","CASTER",59,"59","農協","農協"
"4835","CASTER",60,"60","信農連","信農連"
"4836","CASTER",61,"61","漁協","漁協"
"4837","CASTER",62,"62","信魚連","信魚連"
"4838","CASTER",63,"63","農林中央金庫","農林中央金庫"
"4839","CASTER",64,"64","商工組合中央金庫","商工組合中央金庫"
"4840","CASTER",65,"65","日本銀行","日本銀行"
"4855","CASTER",66,"66","短資業者","短資業者"
"4856","CASTER",67,"67","手形交換所","手形交換所"
"4860","CASTER",68,"68","信用保証協会","信用保証協会"
"4862","CASTER",69,"69","その他金融業","その他金融業"
"4870","CASTER",70,"70","預金保険機構","預金保険機構"
"5000","CASTER",71,"71","不動産業","不動産業"
"5001","CASTER",72,"72","不動産賃貸業","不動産賃貸業"
"5100","CASTER",73,"73","サービス/物品賃貸業","サービス業／物品賃貸業"
"5200","CASTER",74,"74","サービス/旅館","サービス業／旅館"
"5300","CASTER",75,"75","サービス/娯楽・映画","サービス業／娯楽・映画"
"5400","CASTER",76,"76","サービス/広告","サービス業／広告"
"5500","CASTER",77,"77","サービス/医療・保健","サービス業／医療・保健衛生"
"5581","CASTER",78,"78","サービス/福祉","サービス業／福祉"
"5600","CASTER",79,"79","サービス/教育","サービス業／教育"
"5661","CASTER",80,"80","私立大学","私立大学"
"5662","CASTER",81,"81","私立高校","私立高校"
"5663","CASTER",82,"82","私立中学","私立中学"
"5664","CASTER",83,"83","私立小学","私立小学"
"5665","CASTER",84,"84","私立幼稚園","私立幼稚園"
"5666","CASTER",85,"85","各種学校","各種学校"
"5667","CASTER",86,"86","その他の教育機関","その他の教育機関"
"5700","CASTER",87,"87","サービス業/その他","サービス業／その他"
"6300","CASTER",88,"88","海外円借款等","海外円借款・国内店名義現地"
"6541","CASTER",89,"89","日本開発銀行","日本開発銀行"
"6542","CASTER",90,"90","日本輸出入銀行","日本輸出入銀行"
"6543","CASTER",91,"91","郵便局","郵便局"
"6544","CASTER",92,"92","国民金融公庫","国民金融公庫"
"6545","CASTER",93,"93","住宅金融公庫","住宅金融公庫"
"6546","CASTER",94,"94","農林漁業公庫","農林漁業公庫"
"6547","CASTER",95,"95","中小企業公庫","中小企業公庫"
"6548","CASTER",96,"96","北海道東北開発公庫","北海道東北開発公庫"
"6549","CASTER",97,"97","公営企業金融公庫","公営企業金融公庫"
"6550","CASTER",98,"98","中小企業信用保険公庫","中小企業信用保険公庫"
"6551","CASTER",99,"99","社会福祉・医療事業団","社会福祉・医療事業団"
"6552","CASTER",100,"100","環境衛生金融公庫","環境衛生金融公庫"
"6553","CASTER",101,"101","沖縄振興開発金融公庫","沖縄振興開発金融公庫"
"6562","CASTER",102,"102","その他金融業","その他金融業"
"6572","CASTER",103,"103","石油公団","石油公団"
"6600","CASTER",104,"104","貸金業・投資業等","貸金業・投資業等"
"6657","CASTER",105,"105","質屋","質屋"
"6659","CASTER",106,"106","証券金融会社","証券金融会社"
"6661","CASTER",107,"107","貸金業者","貸金業者"
"6664","CASTER",108,"108","クレジットカード業","クレジットカード業"
"6665","CASTER",109,"109","割腑金融会社","割腑金融会社"
"6666","CASTER",110,"110","住宅金融会社","住宅金融会社"
"6667","CASTER",111,"111","ファイナンス","ファイナンス"
"6668","CASTER",112,"112","ファクタリング","ファクタリング"
"6669","CASTER",113,"113","抵当証券会社","抵当証券会社"
"6671","CASTER",114,"114","自動車販売金融会社","自動車販売金融会社"
"6700","CASTER",115,"115","不動産関連地方公社等","不動産関連地方公社等向"
"6800","CASTER",116,"116","通信業","通信業"
"6900","CASTER",117,"117","各種団体等","各種団体等"
"7100","CASTER",118,"118","情報通信業","情報通信業"
"7171","CASTER",119,"119","情報通信業/出版","情報通信業／出版"
"7172","CASTER",120,"120","情報通信業/映画","情報通信業／映画"
"7173","CASTER",121,"121","情報通信業/情報","情報通信業／情報サービス"
"7174","CASTER",122,"122","情報通信業/放送","情報通信業／放送"
"9100","CASTER",123,"123","貿易業","貿易業"
"ADMIN","DEFINITION",10,"ADMIN","管理者","ユーザ登録関連で利用"
"Answer","DEFINITION",8,"Answer","電子稟議（回答書）","ユーザ登録関連で利用"
"APPROVALALL","DEFINITION",1,"APPROVALALL","電子稟議","テンプレート取得関連"
"AS_REQUEST","SATEIUSERLEVEL",1,"AS_REQUEST","担当者","（営業店）　担当者"
"AS_UNDERWRITE1","SATEIUSERLEVEL",2,"AS_UNDERWRITE1","検印","（営業店）　検印"
"AS_UNDERWRITE2","SATEIUSERLEVEL",3,"AS_UNDERWRITE2","支店長","（営業店）　支店長"
"AS_UNDERWRITE3","SATEIUSERLEVEL",4,"AS_UNDERWRITE3","１次承認","（与信監査部）　１次承認者　業務役以下"
"AS_UNDERWRITE4","SATEIUSERLEVEL",5,"AS_UNDERWRITE4","２次承認","（与信監査部）　２次承認者　課長・部次長"
"AS_UNDERWRITE5","SATEIUSERLEVEL",5,"AS_UNDERWRITE5","部長","（与信監査部）　最終決裁者　部長"
"ASAIMUSHAKUBUN1","ASAIMUSHAKUBUN",1,"ASEIJYO","みなし正常先","みなし正常先"
"ASAIMUSHAKUBUN2","ASAIMUSHAKUBUN",2,"AYOUTYU","簡易要注意先","簡易要注意先"
"ASAIMUSHAKUBUN4","ASAIMUSHAKUBUN",3,"AHAKE","簡易破綻懸念先","簡易要破綻懸念先"
"ASSESS","DEFINITION",3,"ASSESS","自己査定","テンプレート取得関連、ユーザ登録関連で利用"
"AVAIL_DIV1","AVAIL_DIV",1,"1","本登記","本登記"
"AVAIL_DIV2","AVAIL_DIV",2,"2","仮登記","仮登記"
"AVAIL_DIV3","AVAIL_DIV",3,"3","登記留保","登記留保"
"BENSAINENSU00","BENSAINENSU",1,"10","10","10"
"BENSAINENSU1","BENSAINENSU",2,"20","20","20"
"BUKKENSYURUI01","BUKKENSYURUI",1,"01","土地","土地"
"BUKKENSYURUI02","BUKKENSYURUI",2,"02","建物","建物"
"BUKKENSYURUI03","BUKKENSYURUI",3,"03","土地建物","土地建物"
"BUKKENSYURUI04","BUKKENSYURUI",4,"04","マンション","マンション"
"BUKKENSYURUI99","BUKKENSYURUI",99,"99","その他","その他"
"BUTENKAKU1","BUTENKAKU",1,"EIGYO","営業店","営業店"
"BUTENKAKU2","BUTENKAKU",2,"SINSA","本部","与信監査部"
"BUTENKAKU3","BUTENKAKU",3,"KANSA","監査部門","監査部"
"CTRT_DETAIL1","CTRT_DETAIL",1,"1","保証約定書","保証約定書"
"CTRT_DETAIL2","CTRT_DETAIL",2,"2","担保設定契約証書","担保設定契約証書"
"CTRT_DETAIL3","CTRT_DETAIL",3,"3","その他","その他"
"CUSTOMER","DEFINITION",4,"CUSTOMER","顧客管理","テンプレート取得関連"
"E_CNT_CONTENT01","E_CNT_CONTENT",1,"01","定期","定期"
"E_CNT_CONTENT02","E_CNT_CONTENT",2,"02","新規","新規"
"E_CNT_CONTENT03","E_CNT_CONTENT",3,"03","投信","投信"
"E_CNT_CONTENT04","E_CNT_CONTENT",4,"04","集金","集金"
"E_CNT_CONTENT05","E_CNT_CONTENT",5,"05","その他","その他"
"E_CONTACT_HH06","E_CONTACT_HH",6,"06","06","6時"
"E_CONTACT_HH07","E_CONTACT_HH",7,"07","07","7時"
"E_CONTACT_HH08","E_CONTACT_HH",8,"08","08","8時"
"E_CONTACT_HH09","E_CONTACT_HH",9,"09","09","9時"
"E_CONTACT_HH10","E_CONTACT_HH",10,"10","10","10時"
"E_CONTACT_HH11","E_CONTACT_HH",11,"11","11","11時"
"E_CONTACT_HH12","E_CONTACT_HH",12,"12","12","12時"
"E_CONTACT_HH13","E_CONTACT_HH",13,"13","13","13時"
"E_CONTACT_HH14","E_CONTACT_HH",14,"14","14","14時"
"E_CONTACT_HH15","E_CONTACT_HH",15,"15","15","15時"
"E_CONTACT_HH16","E_CONTACT_HH",16,"16","16","16時"
"E_CONTACT_HH17","E_CONTACT_HH",17,"17","17","17時"
"E_CONTACT_HH18","E_CONTACT_HH",18,"18","18","18時"
"E_CONTACT_HH19","E_CONTACT_HH",19,"19","19","19時"
"E_CONTACT_HH20","E_CONTACT_HH",20,"20","20","20時"
"E_CONTACT_HH21","E_CONTACT_HH",21,"21","21","21時"
"E_CONTACT_HH22","E_CONTACT_HH",22,"22","22","22時"
"E_CONTACT_HH23","E_CONTACT_HH",23,"23","23","23時"
"E_CONTACT_MM00","E_CONTACT_MM",0,"00","00","00分"
"E_CONTACT_MM15","E_CONTACT_MM",15,"15","15","15分"
"E_CONTACT_MM30","E_CONTACT_MM",30,"30","30","30分"
"E_CONTACT_MM45","E_CONTACT_MM",45,"45","45","45分"
"E_KATAGAWARI01","E_KATAGAWARI",1,"1","京都銀行","京都銀行"
"E_KATAGAWARI02","E_KATAGAWARI",2,"2","京都信用金庫","京都信用金庫"
"E_KATAGAWARI03","E_KATAGAWARI",3,"3","滋賀銀行","滋賀銀行"
"E_KATAGAWARI04","E_KATAGAWARI",4,"4","南都銀行","南都銀行"
"E_KATAGAWARI05","E_KATAGAWARI",5,"5","関西アーバン銀行","関西アーバン銀行"
"E_KATAGAWARI06","E_KATAGAWARI",6,"6","近畿大阪銀行","近畿大阪銀行"
"E_KATAGAWARI07","E_KATAGAWARI",7,"7","住宅支援機構","住宅支援機構"
"E_KATAGAWARI08","E_KATAGAWARI",8,"8","三菱ＵＦＪ銀行","三菱ＵＦＪ銀行"
"E_KATAGAWARI09","E_KATAGAWARI",9,"9","三井住友銀行","三井住友銀行"
"E_KATAGAWARI10","E_KATAGAWARI",10,"10","みずほ銀行","みずほ銀行"
"E_KATAGAWARI11","E_KATAGAWARI",11,"11","りそな銀行","りそな銀行"
"E_KATAGAWARI12","E_KATAGAWARI",12,"12","SBI 新生銀行","SBI 新生銀行"
"E_KATAGAWARI13","E_KATAGAWARI",13,"13","あおぞら銀行","あおぞら銀行"
"E_KATAGAWARI14","E_KATAGAWARI",14,"14","三菱ＵＦＪ信託銀行","三菱ＵＦＪ信託銀行"
"E_KATAGAWARI15","E_KATAGAWARI",15,"15","みずほ信託銀行","みずほ信託銀行"
"E_KATAGAWARI16","E_KATAGAWARI",16,"16","中央三井信託銀行","中央三井信託銀行"
"E_KATAGAWARI17","E_KATAGAWARI",17,"17","住友信託銀行","住友信託銀行"
"E_KATAGAWARI18","E_KATAGAWARI",18,"18","りそな信託銀行","りそな信託銀行"
"E_KATAGAWARI19","E_KATAGAWARI",19,"19","枚方信用金庫","枚方信用金庫"
"E_KATAGAWARI20","E_KATAGAWARI",20,"20","摂津水都信用金庫","摂津水都信用金庫"
"E_KATAGAWARI21","E_KATAGAWARI",21,"21","奈良中央信用金庫","奈良中央信用金庫"
"E_KATAGAWARI22","E_KATAGAWARI",22,"22","中小企業金融公庫","中小企業金融公庫"
