"JGskm_SyoriId","JGskm_BranchNo","JGskm_CustomerNo","JGskm_KijyunNengetu","JGskm_ShinseiNo","JGskm_KasitukeNo","JGskm_Kamoku","JGskm_Riritu","JGskm_ShinseiDate","JGskm_ShinseiKigen","JGskm_TousyoJikkouDate","JGskm_Kijitu","JGskm_SyoninKigen","JGskm_KasitukeZandaka","JGskm_TousyoJikkouKingaku","JGskm_SikinSito","JGskm_HosyoMokuteki","JGskm_HensaiHouhou","JGskm_SyokaiHensaiDate","JGskm_SyokaiHensaigaku","JGskm_TotyukaiHensaigaku","JGskm_SaisyukaiHensaigaku","JGskm_HensaiSyuki","JGskm_EntaiGanpon","JGskm_EntaiKikan","JGskm_MondaiSaikenTokutei","JGskm_JoukenHenkou","JGskm_KjkKanwaSaiken","JGskm_KengenKubun","JGskm_HimotukiTanpo","JGskm_HimotukiHosyo","JGskm_Bikou","JGskm_Tokukasi1HendouKingaku","JGskm_Tokukasi1HendouJiyu","JGskm_Tokukasi1HendouComment","JGskm_Tokukasi2HendouKingaku","JGskm_Tokukasi2HendouJiyu","JGskm_Tokukasi2HendouComment","JGskm_Tokukasi3HendouKingaku","JGskm_Tokukasi3HendouJiyu","JGskm_Tokukasi3HendouComment","JGskm_Tokukasi4HendouKingaku","JGskm_Tokukasi4HendouJiyu","JGskm_Tokukasi4HendouComment","JGskm_Tokukasi1KoteiKingaku","JGskm_Tokukasi1KoteiJiyu","JGskm_Tokukasi1KoteiComment","JGskm_Tokukasi2KoteiKingaku","JGskm_Tokukasi2KoteiJiyu","JGskm_Tokukasi2KoteiComment","JGskm_Tokukasi3KoteiKingaku","JGskm_Tokukasi3KoteiJiyu","JGskm_Tokukasi3KoteiComment","JGskm_Tokukasi4KoteiKingaku","JGskm_Tokukasi4KoteiJiyu","JGskm_Tokukasi4KoteiComment","JGskm_Hosei","JGskm_LoanFlg","JGskm_SyohinCode","JGskm_TanpoCode","JGskm_RisokuDate","JGskm_KyokudoFlg","JGskm_BISShikibetsu1","JGskm_BISShikibetsu2","JGskm_SinkiTourokuDate","JGskm_SinkiTourokuUserNo","JGskm_LastUpdate","JGskm_UpdateUserNo"
"3000000000000024","001 ","0010001     ","201712",2001,2001,"KAMOKU01",1.00000,"20150101","20160101"," ","20160101"," ",1200000,,"SIKINSITO101","",""," ",,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",""," ",,,,2018/03/05 11:38:58.980,"177001    ",2018/03/05 11:38:58.980,"177001"
"3000000000000025","001 ","0010002     ","201712",2002,20022,"KAMOKU01",1.20000,"1.20000"," ","20170721","20420731"," ",100000,100000,"SIKINSITO101","HOSYOMOKU520000","HENSAIHOUHOU4","20171231",281776,,0,1,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,0,"14725","520000"," ",,"","",2018/03/05 11:57:08.457,"177001    ",2018/03/05 11:57:08.457,"177001"
"3000000000000026","001 ","0011234     ","201712",13300003003,17323523,"KAMOKU03",1.20000,"1.20000"," ","20170721","20420731"," ",72163642,73000000,"SIKINSITO239","HOSYOMOKU520000","HENSAIHOUHOU4","20171231",281776,,0,1,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,0,"14725","520000"," ",,"","",2018/03/05 12:02:45.490,"177001    ",2018/03/05 12:02:45.490,"177001"
"3000000000000027","001 ","0010001     ","201712",2001,2001,"KAMOKU01",1.00000,"20150101","20160101"," ","20160101"," ",1200000,,"SIKINSITO101","",""," ",,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",""," ",,,,2018/04/04 10:45:04.130,"177001    ",2018/04/04 10:45:04.130,"177001"
"3000000000000029","001 ","0010003     ","201803",3001,301,"KAMOKU01",1.00000,"20150101","20160101"," ","20160101"," ",1200000,,"SIKINSITO101","",""," ",,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",""," ",,,,2018/04/04 12:00:23.720,"177001    ",2018/04/04 12:00:23.720,"177001"
"3000000000000030","001 ","0010003     ","201803",3001,301,"KAMOKU03",1.00000,"20150101","20160101","20170823","20170823","20170823",1200000,,"SIKINSITO107","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",1,0,"10912","1"," ",0,"","",2018/04/04 12:06:29.187,"177001    ",2018/04/04 12:08:45.960,"177001"
"3000000000000032","001 ","0010001     ","201803",2001,2001,"KAMOKU01",1.00000,"20150101","20160101","20170823","20160101","20170823",1200000,,"SIKINSITO101","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,0,"10912","1"," ",0,"","",2018/04/04 13:52:45.973,"0019999999",2018/04/04 13:52:45.973,"0019999999"
"3000000000000033","001 ","0010003     ","201803",3001,301,"KAMOKU03",1.00000,"20150101","20160101","20170823","20170823","20170823",1200000,,"SIKINSITO107","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",1,0,"10912","1"," ",0,"","",2018/05/21 10:01:12.260,"001       ",2018/05/21 10:01:12.260,"001"
"3000000000000033","001 ","0010003     ","201803",3002,301,"KAMOKU03",1.00000,"20150101","20160101","20170823","20170823","20170823",1200000,,"SIKINSITO244","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",1,0,"10912","1"," ",0,"","",2018/05/21 10:01:12,"001       ",2018/05/21 10:01:12,"001"
"3000000000000034","001 ","0015555     ","201803",5555,5555,"KAMOKU03",1.00000,"20150101","20160101","20170823","20170823","20170823",1200000,,"SIKINSITO107","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",1,0,"10912","1"," ",0,"","",2018/04/05 16:47:53.177,"177001    ",2018/04/05 16:48:10.947,"177001"
"3000000000000037","001 ","0010001     ","201803",2001,2001,"KAMOKU01",1.00000,"20150101","20160101","20170823","20160101","20170823",1200000,,"SIKINSITO101","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,1,"10912","1"," ",0,"","",2018/06/01 11:04:02.837,"001       ",2018/06/01 11:04:02.837,"001"
"3000000000000038","001 ","0010001     ","201803",2001,2001,"KAMOKU01",1.00000,"20150101","20160101","20170823","20160101","20170823",1200000,,"SIKINSITO101","HOSYOMOKU300000","HENSAIHOUHOU1","20171231",,,,,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",1,1,"10912","1"," ",0,"","",2018/06/01 11:28:34.393,"001       ",2018/06/01 11:28:58.820,"001"
"3000000000000040","001 ","0010002     ","201803",2002,20022,"KAMOKU01",1.20000,"1.20000","20160101","20170721","20420731","20170823",100000,100000,"SIKINSITO101","HOSYOMOKU520000","HENSAIHOUHOU4","20171231",281776,,0,1,,,0,"JYOUKEN1","","KENGEN2","UMU2","UMU2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,0,"14725","1"," ",0,"","",2018/06/01 14:22:49.087,"001       ",2018/06/01 14:22:49.087,"001"
"3000000000000046","014 ","0140001     ","201809",900000000009001,1,"KAMOKU01",10.00000,"20170320",,,,,10000000,0,"SIKINSITO360",,," ",,,,,,,0,"JYOUKEN1",,"KENGEN1","UMU2","UMU2",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,2021/06/10 17:00:35.720,"0000000001",2021/06/10 17:00:35.720,"0000000001"
"3000000000000047","014 ","0140001     ","201809",900000000009001,1,"KAMOKU01",10.00000,"20170320"," "," "," "," ",10000000,0,"SIKINSITO360","HOSYOMOKU100000",""," ",,,,,,,0,"JYOUKEN1","","KENGEN1","UMU2","UMU2","",,"","",,"","",,"","",,"","",,"","",,"","",,"","",,"","",1,0,,,,,,,2023/02/13 17:00:34.647,"0000000001",2023/07/18 11:44:59.483,"0000000001"
"3000000000000054","020 ","0202001     ","201810",900000000111014,111014,"KAMOKU03",0.00000,,,,,,10000000,10000000,"SIKINSITO499","HOSYOMOKU710002",,,,,,,,,0,"JYOUKEN1",,"KENGEN1","UMU2","UMU2","備考",0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,,,,,,2018/11/30 17:03:16.480,"20001     ",2018/11/30 17:03:16.480,"20001"
"3000000000000057","020 ","0205001     ","201811",900000000205001,1,"KAMOKU03",10.00000,"20170320",,,,,100000000,0,"SIKINSITO101",,," ",,,,,,,0,"JYOUKEN1",,"KENGEN1","UMU2","UMU2",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,2018/12/11 9:22:11.867,"20001     ",2018/12/11 9:22:11.867,"20001"
"3000000000000093","020 ","0202201     ","201903",900000001202201,1,"KAMOKU01",10.00000,"20180320"," "," "," "," ",40000000,0,"SIKINSITO101","",""," ",,,,,,,0,"JYOUKEN1","","KENGEN1","UMU2","UMU2","",,"","",,"","",,"","",,"","",,"","",,"","",,"","",,"","",1,0,,,,,,,2019/04/16 14:20:44.220,"20001     ",2019/04/16 14:24:09.350,"20001"
"3000000000000093","020 ","0202201     ","201903",900000002202201,2,"KAMOKU02",10.00000,"20180320",,,,,40000000,0,"SIKINSITO101",,," ",,,,,,,0,"JYOUKEN1",,"KENGEN1","UMU2","UMU2",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,2019/04/16 14:20:44.220,"20001     ",2019/04/16 14:20:44.220,"20001"
"3000000000000094","010 ","0111117     ","201903",900000001202207,1,"KAMOKU21",10.00000,"20180320",,,,,20000000,0,"SIKINSITO101",,," ",,,,,,,0,"JYOUKEN1",,"KENGEN1","UMU2","UMU2",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,2019/04/16 14:32:30.527,"20001     ",2019/10/10 10:31:26.307,"TransferTr"
