"RGcgc_ApprovalNo","RGcgc_PrevApprovalNo","RGcgc_ApprovalItemCode","RGcgc_ExecScheduledDate","RGcgc_RepaymentLimitDay","RGcgc_CommodityCode","RGcgc_SecurityCode","RGcgc_ExecScheduledMoney","RGcgc_InterestRate","RGcgc_InterestRateApplyDvsn","RGcgc_InterestSupplyRate","RGcgc_VariableInterestCode","RGcgc_SlideRange","RGcgc_StandardSpread","RGcgc_RepaymentWayCode","RGcgc_RepayIntervalCode","RGcgc_RepaymentInterestCode","RGcgc_RepayInterestIntrvlCode","RGcgc_FirstRepayInterestDate","RGcgc_FirstRepayDate","RGcgc_BeforeExecMoney","RGcgc_BeforeInterestRate","RGcgc_RootManagementNo","RGcgc_BonusTotalMoney","RGcgc_FixedContractualRate","RGcgc_VariableContractualRate","RGcgc_StepRateAppliedDate","RGcgc_StepRate","RGcgc_StepPeriod","RGcgc_CapitalUseDetailDivision","RGcgc_RepayDay","RGcgc_FractionDivision","RGcgc_DeferInterestIntrvlCode","RGcgc_RepayCount1","RGcgc_EveryRepayMoney2","RGcgc_BonusRepayMoney","RGcgc_BonusRepayCount","RGcgc_BonusBeginDate","RGcgc_BonusMonth1","RGcgc_BonusMonth2","RGcgc_StartRepayDate1","RGcgc_RepayDay1","RGcgc_LastRepayDate1","RGcgc_RepayIntervalCode1","RGcgc_IncreaseDecreaseMoney1","RGcgc_StartRepayDate2","RGcgc_RepayDay2","RGcgc_LastRepayDate2","RGcgc_RepayIntervalCode2","RGcgc_IncreaseDecreaseMoney2","RGcgc_StartRepayDate3","RGcgc_RepayDay3","RGcgc_LastRepayDate3","RGcgc_RepayIntervalCode3","RGcgc_IncreaseDecreaseMoney3","RGcgc_StartRepayDate4","RGcgc_RepayDay4","RGcgc_LastRepayDate4","RGcgc_RepayIntervalCode4","RGcgc_IncreaseDecreaseMoney4","RGcgc_StartRepayDate5","RGcgc_RepayDay5","RGcgc_LastRepayDate5","RGcgc_RepayIntervalCode5","RGcgc_IncreaseDecreaseMoney5","RGcgc_EveryRepayMoney3","RGcgc_ApprovalTypeCode","RGcgc_CapitalUseDivision","RGcgc_JikkouDate","RGcgc_TanpoKubun","RGcgc_KyokudoFlg","RGcgc_AccruedDelayInterest","RGcgc_BillLimitDate","RGcgc_InterestSettledDate","RGcgc_FixInerestTerm","RGcgc_InerestSelectDivision","RGcgc_ResponsibilityDivision","RGcgc_RepaymentDivision","RGcgc_BNSOldRateInterest","RGcgc_BNSSumFlag","RGcgc_BNSAccruedTMoney","RGcgc_BNSAccruedIMoney","RGcgc_RegularProfitMargin","RGcgc_DelayInterestMoney","RGcgc_DelayInterestCalcEndDate","RGcgc_ManagemntCreditFlag","RGcgc_TimeLimitExStopFlag","RGcgc_InterestApplyStartDiv","RGcgc_PrincipalCounterItem","RGcgc_InterestCounterItem","RGcgc_PrcpInterestCollDate","RGcgc_NowConditionStartDate","RGcgc_RegularInterestEndDate","RGcgc_AccountStartDate","RGcgc_FinalHolidayRevisedDiv","RGcgc_NextInterestSelectDiv","RGcgc_NextInterestMoney","RGcgc_NextRate","RGcgc_NextRateApplyDate","RGcgc_ExecuteStopFlag","RGcgc_SyokaiRibaraiDate","RGcgc_ConsumerLoanFlag","RGcgc_ConditionChangeDate","RGcgc_ConditionChangeFlag","RGcgc_LastRepayInterestDate","RGcgc_LastRateEndDate","RGcgc_OverdraftInterestMoney","RGcgc_PaymentInSubrogationFlag","RGcgc_AdditionalInterestMoney","RGcgc_NotFixedFormSumMoney","RGcgc_InsideAmount","RGcgc_FloatingLowerRate","RGcgc_AccruedDelayMoney","RGcgc_AccruedTMoney","RGcgc_AccruedIMoney","RGcgc_ReturnInterestMoney","RGcgc_TreatProfitMargin","RGcgc_InterestCollectedEndDate","RGcgc_InterestCollectedDate","RGcgc_InterestCalcDate","RGcgc_LatestCalcMoveDate","RGcgc_Rollover","RGcgc_GroupInsuranceDivision","RGcgc_FloatingUpperRate","RGcgc_InstallmentChangeDiv","RGcgc_InstallmentBaseYears","RGcgc_RegularInterestCount","RGcgc_NoFloatingBDivideFlag","RGcgc_SyokaiHensaiDate","RGcgc_LastLimitDate","RGcgc_FinalDivideExecuteDate","RGcgc_KyokudonaiZandaka","RGcgc_KyokudoZandaka","RGcgc_KijituTo","InsertDateTime","InsertUserNo","UpdateDateTime","UpdateUserNo"
"00300029","72470006","R_RINGIKAMOKU33","20240708","20340731","52200",,10900000,1.00000,"R_RIRITUTEKI04",,"R_RIRITUHENDO02",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20240801","20240801",,,,,-1.80000,-1.90000,,,,"R_SIKINSITOM355","31","R_ADJHASU0",,120,95488,,,,"03","09",,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO3","20240708","71",0,,,,,"R_KINRIKBN10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202408",,,,,,2024/11/18 17:50:04.117,"10001       ",2024/11/18 17:50:04.117,"10001       "
"16300000","00000001","R_RINGIKAMOKU32","20170323","20170330","10109",,100000,10.00000,"",,"",,,"R_HENSAIHOU1","","R_RIBARAIHOU2","","20170330","20170330",,,,,,,,,,""," ","",,,,,," "," "," ","201703"," ","201703","",,"201703"," ","201703","",,"201703"," ","201703","",,"201703"," ","201703","",,"201703"," ","201703","",,,"R_RINGISYURUI4",,"20170323","51",0,,"20170410","20170405","20170330","","",,," ",,,,,"20170330"," "," "," "," "," ","20170330","20170330","20170330","20170330"," "," ",,,"20170330"," ","20170330"," ","20170330"," ","20170330","20170330",," ",,,,,,,,,,"20170330","20170330","20170330"," ","","",," ",,," ","20170330","20170330","20170330",,,,2017/03/08 11:01:30.220,"0019999999  ",2017/03/08 11:01:30.220,"0019999999  "
"17300051","17300040","R_RINGIKAMOKU33","20171215","20190806","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,0,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,417000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"R_RINGISYURUI4","R_SIKINSITO2","20171215","72",0,0,,,,,,0,0,"1",0,0,0.00000,,,"0",,"02",,,,,,,"0","00",,0.00000,,,,"0",,"0",,,,"0",0,0,0,0.00000,,0,0,0,0.00000,,,,,,,0.00000,"1",0,0,"1","20050930",,,,,,2017/10/23 21:34:30.827,"31001       ",2017/10/23 21:34:30.827,"31001       "
"17300056","17300053","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/24 14:54:40.610,"31001       ",2017/10/24 14:54:40.610,"31001       "
"17300057","17300052","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/24 15:24:21.003,"31001       ",2017/10/24 15:24:21.003,"31001       "
"17300063","17300052","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/24 18:59:43.633,"31001       ",2017/10/24 18:59:43.633,"31001       "
"17300064","17300061","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.30000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.50000,0.30000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/24 19:59:18.263,"31001       ",2017/10/24 19:59:18.263,"31001       "
"17300067","17300065","R_RINGIKAMOKU33","20171215","20190806","10001",,3000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,0,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,417000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"R_RINGISYURUI4","R_SIKINSITO2","20171215","72",0,0,,,,,,0,0,"1",0,0,0.00000,,,"0",,"02",,,,,,,"0","00",,0.00000,,,,"0",,"0",,,,"0",0,0,0,0.00000,,0,0,0,0.00000,,,,,,,0.00000,"1",0,0,"1","20050930",,,,,,2017/10/24 20:24:26.393,"31001       ",2017/10/24 20:24:26.393,"31001       "
"17300068","17300065","R_RINGIKAMOKU38","20171215","20190806","10001","1001",3000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,0,0.00000,0.00000,,,,"R_SIKINSITOM129","06","R_ADJHASU0",,20,417000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"R_RINGISYURUI4","R_SIKINSITO1","20171215","72",0,0,,,,,,0,0,"1",0,0,0.00000,,,"0",,"02",,,,,,,"0","00",,0.00000,,,,"0",,"0",,,,"0",0,0,0,0.00000,,0,0,0,0.00000,,,,,,,0.00000,"1",0,0,"1","20050930",,,,,,2017/10/24 20:31:39.253,"31001       ",2017/10/24 20:31:39.253,"31001       "
"17300069","17300064","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.30000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.20000,0.30000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/24 21:02:24.440,"31001       ",2017/10/24 21:02:24.440,"31001       "
