"RGlap_ApprovalNo","RGlap_CustomerId","RGlap_ApprovalTypeCode","RGlap_DealingTypeCode","RGlap_ApprovalItemCode","RGlap_LmtApprovalNo","RGlap_LmtMoney","RGlap_LmtMrgMoney","RGlap_LmtMrgCalcBaseDate","RGlap_LmtStartDate","RGlap_LmtEndDate","RGlap_LmtInterestRate","RGlap_RequestReceiptNo","RGlap_PrevApprovalNo","RGlap_OriginalApprovalNo","RGlap_SettAuthorityCode","RGlap_ExecScheduledDate","RGlap_RepaymentLimitDay","RGlap_CommodityCode","RGlap_SecurityDivision","RGlap_ExecScheduledMoney","RGlap_InterestRate","RGlap_InterestRateApplyType","RGlap_InterestSupplyRate","RGlap_VariableInterestCode","RGlap_SlideRange","RGlap_StandardSpread","RGlap_LoanTotal","RGlap_DepositTotal","RGlap_LoanInterestTotal","RGlap_DepositInterestTotal","RGlap_HeadBranchCalcRate","RGlap_HeadBranchCalcDebitRate","RGlap_HeadBranchCalcCreditRate","RGlap_RelatedRealInterestRate","RGlap_RelatedDpstFinanceRate","RGlap_RelatedAnnualProfits","RGlap_CapitalUseDivision","RGlap_CapitalUseDetailDivision","RGlap_CapitalUseDetailDesc","RGlap_RaiseDetailItem1","RGlap_RaiseDetailItem2","RGlap_RaiseDetailItem3","RGlap_RaiseDetailMoney1","RGlap_RaiseDetailMoney2","RGlap_RaiseDetailMoney3","RGlap_FundsOnHandMoney","RGlap_RepaymentWayCode","RGlap_RepaymentInterestCode","RGlap_FirstRepayInterestDate","RGlap_FirstRepayDate","RGlap_RepayIntervalCode","RGlap_RepayInterestIntrvlCode","RGlap_RepayCapital","RGlap_RepayCount1","RGlap_RepayCount2","RGlap_RepayCount3","RGlap_EveryRepayMoney1","RGlap_EveryRepayMoney2","RGlap_EveryRepayMoney3","RGlap_SecurityFloatingExistFlg","RGlap_SecurityDesc","RGlap_Remarks","RGlap_WideUseApprovalDtls","RGlap_SubTitle","RGlap_SubTitleSupplement","RGlap_ConditionCngTypeCode","RGlap_ConditionExmptCrdtCode","RGlap_ReleaseJdgmntIntrstRate","RGlap_ApplyInterestRate","RGlap_ConditionExemptDesc","RGlap_OldVersionFlag","RGlap_RegisterFlag","RGlap_RenovationFlag","RGlap_DraftDate","RGlap_DraftUserName","RGlap_SecurityCode","RGlap_TempFlag","RGlap_InChargeUserNo","RGlap_InChargeUserName","RGlap_HQInChargeUserNo","RGlap_HQInChargeUserName","RGlap_ChangeStandardDate","RGlap_CreditNo","RGlap_BillLimitDate","RGlap_RootManagementNo","RGlap_SheetCount","RGlap_BonusTotalMoney","RGlap_ForeignMoney","RGlap_MonetaryUnit","RGlap_Reservation","RGlap_RefinanceDivision","RGlap_RefinanceFirstDate","RGlap_RefinanceUseDivision","RGlap_SelectTypeDivision","RGlap_FixedContractualRate","RGlap_VariableContractualRate","RGlap_StepRateAppliedDate","RGlap_StepRate","RGlap_StepPeriod","RGlap_OperateDetailItem1","RGlap_OperateDetailItem2","RGlap_OperateDetailItem3","RGlap_OperateDetailItem4","RGlap_OperateDetailItem5","RGlap_OperateDetailItem6","RGlap_OperateDetailItem7","RGlap_OperateDetailItem8","RGlap_OperateDetailItem9","RGlap_OperateDetailMoney1","RGlap_OperateDetailMoney2","RGlap_OperateDetailMoney3","RGlap_OperateDetailMoney4","RGlap_OperateDetailMoney5","RGlap_OperateDetailMoney6","RGlap_OperateDetailMoney7","RGlap_OperateDetailMoney8","RGlap_OperateDetailMoney9","RGlap_RaiseDetailItem4","RGlap_RaiseDetailItem5","RGlap_RaiseDetailItem6","RGlap_RaiseDetailMoney4","RGlap_RaiseDetailMoney5","RGlap_RaiseDetailMoney6","RGlap_RepayDay","RGlap_FractionDivision","RGlap_DeferInterestIntrvlCode","RGlap_BonusRepayMoney","RGlap_BonusRepayCount","RGlap_BonusBeginDate","RGlap_BonusMonth1","RGlap_BonusMonth2","RGlap_CommissionDivision","RGlap_GroupInsuranceDivision","RGlap_DebtSupport","RGlap_FireInsuranceFlag","RGlap_StartRepayDate1","RGlap_RepayDay1","RGlap_LastRepayDate1","RGlap_RepayIntervalCode1","RGlap_IncreaseDecreaseMoney1","RGlap_StartRepayDate2","RGlap_RepayDay2","RGlap_LastRepayDate2","RGlap_RepayIntervalCode2","RGlap_IncreaseDecreaseMoney2","RGlap_StartRepayDate3","RGlap_RepayDay3","RGlap_LastRepayDate3","RGlap_RepayIntervalCode3","RGlap_IncreaseDecreaseMoney3","RGlap_StartRepayDate4","RGlap_RepayDay4","RGlap_LastRepayDate4","RGlap_RepayIntervalCode4","RGlap_IncreaseDecreaseMoney4","RGlap_StartRepayDate5","RGlap_RepayDay5","RGlap_LastRepayDate5","RGlap_RepayIntervalCode5","RGlap_IncreaseDecreaseMoney5","RGlap_RelatedLoanTotal","RGlap_RelatedDepositTotal","RGlap_RelatedLoanInterestTotal","RGlap_RelatedDpstInterestTotal","RGlap_DraftBranchNo","RGlap_DraftBranchName","RGlap_ExecutionBranchNo","RGlap_StaffFinanceFlag","RGlap_ScheduledCloseMoney","RGlap_SimulScheduledCloseMoney","RGlap_DepositSecurityMny","RGlap_SimulDepositSecurityMny","RGlap_SocietyLoadMoney","RGlap_SimulSocietyLoadMoney","RGlap_AutoJudgeSettAuthority","RGlap_SettAuthorityJudgeDate","RGlap_SettAuthorityJudgeReason","RGlap_RespShareDivision","RGlap_ReceiptYear","RGlap_FixedIntstRateSelectDate","RGlap_AppSlipErrFlag","RGlap_BasisCondUpdateTime","RGlap_AutoCalcEveryRepayMoney2","RGlap_AutoCalcBonusRepayMoney","RGlap_TempAdmitFlag","RGlap_ChushinSecurityFlag","RGlap_ReapplicationCode","RGlap_EstablishmentSupport","RGlap_BusinessAssessment","RGlap_ReapplyPrevApprovalNo","RGlap_BackinApproval","RGlap_RateDownCreditNo","RGlap_NowSelectTypeDivision","RGlap_NowInterestRate","RGlap_SelectTypeDivision1","RGlap_SelectTypeRate1","RGlap_SelectTypeDivision2","RGlap_SelectTypeRate2","RGlap_SelectTypeDivision3","RGlap_SelectTypeRate3","RGlap_SelectTypeDivision4","RGlap_SelectTypeRate4","RGlap_SelectTypeDivision5","RGlap_SelectTypeRate5","RGlap_SelectTypeDivision6","RGlap_SelectTypeRate6","RGlap_SelectTypeDivision7","RGlap_SelectTypeRate7","RGlap_ConditionApprovalFlag","InsertDateTime","InsertUserNo","UpdateDateTime","UpdateUserNo"
"00300029",89,"R_RINGISYURUI4","R_TORIHIKISYU1","R_RINGIKAMOKU33",,,,,,,,"00000281","72470006","72470006","R_KESSAIKENGE3","20250831","20340831","52200","71",10900000,1.00000,"R_RIRITUTEKI04",,"R_RIRITUHENDO02",,0.00000,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM355","","","","",,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202508","202508","R_KANKAKU1","R_RBRKANKAKU1","",120,,,,95488,,0,"","",,,,,,,,,0,3,0,2024/11/18 17:50:04.070,"ê∏âÿéxìXê\êøé“A","",0,"10001","ê∏âÿéxìXê\êøé“A","19103","ñ{ïîéüí∑","20240730",,,,,,,"","",,,,"R_KINRIKBN10",-1.80000,-1.90000,,,,"","","","","","","","","",,,,,,,,,,"","","",,,,"31","R_ADJHASU0",,,," "," "," ","","R_DANSINKBN1",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"010","ïSñúï’éxìX",,,,,,,,,,,,," ",,0,2024/11/18 17:50:04.070,95488,,0,0,"","","","",0,,,,,,,,,,,,,,,,,,0,2024/11/18 17:50:04.070,"10001       ",2025/05/23 14:10:04.507,"10001       "
"01400001",146,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"00011112",,"","R_KESSAIKENGE2","20201009","20220606","12068","71",1000000,2.99900,"",,"R_RIRITUHENDO01",,2.00000,,,,,,,,,,,"R_SIKINSITO2","R_SIKINSITOM230","","","","",,,,,"R_HENSAIHOU2","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",20,,,,50000,0,0,"","",,,,,,,,"",0,0,0,2020/11/10 11:34:34.207,"***","1001",1,"014002","***",,"",,," ",,,,,"","",""," ","","",1.00000,1.00000,,,,"","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0",,,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"014","***","014",0,,,,,,,"R_KESSAIKENGE2",2020/11/10 11:37:23.350,"íSï€èåèÅ@óaã‡íSï€Ç†ÇË",""," ",,0,2023/10/13 15:07:29.770,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2020/11/10 11:34:34.207,"014001      ",2023/10/13 15:07:29.770,"0000000001  "
"11111112",31,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU38","",,," "," "," ",,"","","","R_KESSAIKENGE2","20201009","20220606","10210","61",3000000,3.00000,,,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM129","","","","",,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",20,,,,417000,,0,"","","","","","","",,,"",0,1,0,2024/07/11 9:49:44.423,"ÉVÉXÉeÉÄÉÜÅ[ÉUÅ[","1001",0," ",""," ",""," ","310005606"," ",,,0,,"","",,,,,0.00000,0.00000," ",," ","","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0","",0,0,," "," ","",,"",""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"310","ÉVÉiÉäÉIëÊàÍâcã∆ìX","310",,,,,,,,"R_KESSAIKENGE2",,"",""," ",,0,2024/07/11 9:49:44.423,,,0,0,"","","","",0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2024/07/11 9:49:44.423,"AutoLoanAp  ",2024/07/11 9:49:44.423,"AutoLoanAp  "
"11111113",31,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU38","",,," "," "," ",,"","","","R_KESSAIKENGE2","20201009","20220606","10210","61",12000000,3.00000,,,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM129","","","","",,,,,"R_HENSAIHOU8","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",,,,,,,0,"","","","","","","",,,"",0,1,0,2024/07/11 9:52:43.023,"ÉVÉXÉeÉÄÉÜÅ[ÉUÅ[","1001",0," ",""," ",""," ","310005602"," ",,,,,"","",,,,,0.00000,0.00000," ",," ","","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0","",,,," "," ","",,"",""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"310","ÉVÉiÉäÉIëÊàÍâcã∆ìX","310",,,,,,,,"R_KESSAIKENGE2",,"",""," ",,0,2024/07/11 9:52:43.023,,,0,0,"","","","",0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2024/07/11 9:52:43.023,"AutoLoanAp  ",2024/07/11 9:52:43.023,"AutoLoanAp  "
"11111114",31,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU38","",,," "," "," ",,"","","","R_KESSAIKENGE2","20201009","20220606","10210","61",12000000,3.00000,,,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM129","","","","",,,,,"R_HENSAIHOU8","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",,,,,,,0,"","","","","","","",,,"",0,1,0,2024/07/11 9:52:43.023,"ÉVÉXÉeÉÄÉÜÅ[ÉUÅ[","1001",0," ",""," ",""," ","310005602"," ",,,,,"","",,,,,0.00000,0.00000," ",," ","","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0","",,,," "," ","",,"",""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"310","ÉVÉiÉäÉIëÊàÍâcã∆ìX","310",,,,,,,,"R_KESSAIKENGE2",,"",""," ",,0,2024/07/11 9:52:43.023,,,0,0,"","","","",0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2024/07/11 9:52:43.023,"AutoLoanAp  ",2024/07/11 9:52:43.023,"AutoLoanAp  "
"11111115",30,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"","","","R_KESSAIKENGE3","20201009","20220606","10304","91",1000000,3.00000,,,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM357","","","","",,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",20,,,,51322,,0,"","","","","","","",,,"",0,1,0,2024/07/11 10:02:57.300,"ÉVÉXÉeÉÄÉÜÅ[ÉUÅ[",,0," ",""," ",""," ","310005599"," ",,,,,"","",,,,,,," ",," ","","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0","",,,,,,"",,"",""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"310","ÉVÉiÉäÉIëÊàÍâcã∆ìX","310",,,,,,,,"",,"",""," ",,0,2024/07/11 10:02:57.300,,,0,0,"","","","",0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2024/07/11 10:02:57.300,"AutoLoanAp  ",2024/07/11 10:02:57.300,"AutoLoanAp  "
"11111116",30,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"","","","R_KESSAIKENGE2","20201009","20220606","60231","71",500000,1.50000,,,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM357","","","","",,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",20,,,,25327,,0,"","","","","","","",,,"",0,1,0,2024/07/11 13:36:13.060,"ÉVÉXÉeÉÄÉÜÅ[ÉUÅ[","4050",0," ",""," ",""," ","310005506"," ",,,100,,"","",,,,,,," ",," ","","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0","",33,3,"201906","06","12","",,"",""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"310","ÉVÉiÉäÉIëÊàÍâcã∆ìX","310",,,,,,,,"",,"",""," ",,0,2024/07/11 13:36:13.060,,,0,0,"","","","",0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2024/07/11 13:36:13.060,"AutoLoanAp  ",2024/07/11 13:36:13.060,"AutoLoanAp  "
"11111117",30,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"","","","R_KESSAIKENGE2","20201009","20220606","60231","71",500000,1.50000,,,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM357","","","","",,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","",20,,,,25329,,0,"","","","","","","",,,"",0,1,0,2024/07/11 13:37:55.863,"ÉVÉXÉeÉÄÉÜÅ[ÉUÅ[","4050",0," ",""," ",""," ","310005505"," ",,,,,"","",,,,,,," ",," ","","","","","","","","","",,,,,,,,,,"","","",,,,"06","R_ADJHASU0","",,,,,,"",,"",""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"310","ÉVÉiÉäÉIëÊàÍâcã∆ìX","310",,,,,,,,"",,"",""," ",,0,2024/07/11 13:37:55.863,,,0,0,"","","","",0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2024/07/11 13:37:55.863,"AutoLoanAp  ",2024/07/11 13:37:55.863,"AutoLoanAp  "
"16300000",1,"R_RINGISYURUI4","R_TORIHIKISYU1","R_RINGIKAMOKU32","",,,,,,,"00000001","00000001","00000001","R_KESSAIKENGE2","20201009","20220606","10109","10",100000,10.00000,"",,"R_RIRITUHENDO01",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM101","","","","",,,,,"R_HENSAIHOU1","R_RIBARAIHOU2","202011","202011","","R_RBRKANKAKU12","",,,,,,,0,"","",,,,,,,,,0,0,0,2017/03/08 11:01:30.090,"ñ{âcìXëSå†å¿ÉÜÅ[ÉU","4033",0,"601001","íÜêMÉçÅ[Éìï€èÿÉÜÅ[ÉU","9999999999","ñ{ïîëSå†å¿ÉÜÅ[ÉU","20170404",,"20170410",,,,,"","",""," ","","",,,,,,"","","","","","","","","",,,,,,,,,,"","","",,,,"06","",,,," "," "," ","","",,"","201703"," ","201703","",,"201703"," ","201703","",,"201703"," ","201703","",,"201703"," ","201703","",,"201703"," ","201703","",,,,,,"001","ñ{ìXâcã∆ïî","001",0,,,,,,,"R_KESSAIKENGE2",2017/06/05 15:27:36.110,"ã‡óòïœìÆãÊï™ïœçX",""," ",,0,2017/03/08 11:44:28.707,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA1",,,,,,,,,,,,,,,,,,,,0,2017/03/08 11:01:30.090,"0010000001  ",2017/11/22 20:37:02.157,"0019999999  "
"1730000",0,"R_RINGISYURUI3",,,,,,,,,,"00000001",,,"R_KESSAIKENGE2","20201009","20220606",,,,,,,"R_RIRITUHENDO02",,,,,,,,,,,,,,,,,,,,,,,,,"202011","202011",,,,,,,,,,,,,"","R_SUBTITLE0101","",,,,,,0,0,0,2017/05/22 18:00:28,"ñ{âcìXéxìXê\êøé“1",,0,"0010000001","ñ{âcìXéxìXê\êøé“1",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001","ñ{ìXâcã∆ïî","001",,,,,,,,"R_KESSAIKENGE2",2017/05/22 18:01:23,"ï\ç¬",,,,0,2017/05/22 18:00:28,,,0,0,"",,,,,,,,,,,,,,,,,,,,,,0,2017/05/22 18:00:28,"0010000001  ",2017/05/22 18:06:43,"0019999999  "
